,recall,sent
14552,"слишком долго шел товар до Москвы ,не буду больше у них покупать ничего",negative
59778,как на картинке,positive
73014,Шорты понравились.Продавец общительный.Товар пришел быстро,positive
55283,"Хорошая рубашка, все как в описании товара. Размер подошёл.",positive
78497,"Очень понравилась сорочка, качество супер! После стирки абсолютно не меняет внешний вид. И размер соответствует, рекомендую, девочки, заказывайте! Доставка быстрая, продавец общительный",positive
19416,"Ребята, сама картинка лица не на месте, а на затылке получается. Да и размер картинки ну просто гигантский. Короче бред.",negative
79260,картинка соответствует. качество хорошее.,positive
75940,"Это просто суперское пальто! Наполнитель синтепон, но из-за этого лучше держит форму. Заказывала еще такой же пух, он хуже форму держит. Теплый, непродуваемый, очень комфортный! Доставка 3 нед.",positive
59911,"получила посылку,  пуховик оказался большим,  хотя заказывала по размерной сетке, ткань отличная,  но мех полет со страшной силой,  все остаётся на одежде (((",positive
13196,заказ не пришел ( продавец скинул неполную сумму на счет ((,negative
14525,"Платье шло 64 дня, отправка из Китая была 60 дней, самый долгий мой заказ. Продавец отвечал медленно и не охотно. Платье на один раз, рукава широкие, на 170 довольно короткое.",negative
2150,"селикон ужасного состояния, не держится совсем, и размер выслали не мой.",negative
66023,футболки замечательные,positive
81392,"футболка на свою цену , ещё не носила, но главное что с тардис ))",positive
44188,Трусы положили на размер больше а так комплект хорош,neautral
79297,"The colors of the scarves are slightly different, but they do not spoil the scarves (and some even win). 
Very Fast delivery to Moscow.
I'm very satisfied.",positive
36537,"Материал приятный , но в области колен есть не большие дырочки . Мой размер s подошло отлично ) ",neautral
70136,"Пошито не плохо, торчащих ниток нет, ткань дешевая с блеском, М на XS норм.",positive
45396,Размер не подошёл ,neautral
18676,"Заказ сделала 16.06 и до сегодняшнего дня он так и не доставлен. Продавцу писала, но ответа нет. Очень жаль что такие магазины есть на этом сайте. Мошенник ",negative
23960,"Заказ до Москвы шел месяц,но не соответсвует описанию,сделано не из ХЛОПКА!!! Хорошо если это вискоза,но вероятнее всего голимая синтетика! Так что товаром не доволен!!((",negative
10609,Очень широкие,negative
41542,"Заказала две пижамы у продавца. Отвратительная синтетика, спать не комфортно. При моем российском 44 размере,  заказала L. Пижамы все равно маломерят, а штанишки при моем росте 167см. до середины икры, и резинка на них очень тугая. Крой штанишек очень смешной. Передняя и задняя половины одинаковые, поэтому сидят плохо!!!",neautral
40327,"шорты слишком большие, майка несуразно сшита",neautral
52164,"кач-во такое, что распускается все в руках",neautral
47839,"Рубашка оказалась огромного для меня размера,пришлось подарить ее родственнице. Я заказывала размер XL,русский размер 48-50. Но рубашка явно на русский 54,если не больше.Сложно угадать с размерами,я много раз ошибалась с заказом одежды на Али экспресс. При маленьком росте у меня довольно большая грудь,поэтому если заказываю по своему размеру,то в груди одежда очень мала,если заказываю больше на размер,то бывает,что очень свободно в груди.Это расстраивает.",neautral
35276,"Кофточка не плохая, но рукава маленькие, это с учётом что вместо М взяла L на рост 164",neautral
60986,"Шло месяц, качество хорошее",positive
14136,Заказ закрыли так и не доставив до покупателя.,negative
26278,"Ужас, а не платья!! вообще не соответствует описаниб. Как люди осталяли такие отзывы не понимаю, качество ужас, просвечивает, сшито ужас!! Серое платье вообще фотки не те, что пришло на самом деле. Синее выкинуть српзу, а серое может дома, и то не знаю, модет выкину тоде. Никому не советую, даде на тряпки не пойлут. Не соответствует описанию вообще и на фотках вообще не то.",negative
6559,"Ждала заказ двух блузок два месяца в Москву , трек номер не отслеживался, в итоге через два месяца выяснилось, что продавец сам отменил доставку и меня даже не предупредил. Благодаря алиэкспресс мне вернули деньги, открывала спор.",negative
9087,"скользкая синтетика.,  проймы рукавов вырезаны безобразно о вытачках для груди они и не догадываются...перекошенный мешок с дырками...
...прислали меньший размер ..решила взять свободное на лето вместо ог 110см 2хэль 102 см...спор..защита покупателя - я ДОЛЖНА  ОТПРАВИТЬ ЕГО ЗА СВОЙ СЧЁТ!...или остаться с это тряпкой...а продавец продал товар!  отлично",negative
69521,Топик соответствует описанию.,positive
5090,"Очень большой заказывала s.
 пришёл заказ  быстро",negative
16696,Брюки пришли со стрелкой в 15 сантиметров. Продавец возвращает средства.,negative
59720,"Качественные брюки, уже вторые у этого продавца. Доставка быстрая.",positive
55233,заказ пришел. соответствует описанию. тонкая ткань. синтетика. приятная к телу. на мой размер 48-50 подошел 4XL. но можно было заказать на размер больше. спасибо продавцу за быструю доставку.,positive
26856,"large size, poor quality. seams are uneven and bent. It is impossible to wear.",negative
22643,"Платье заказывала сестре,пришло синее ,вместо чёрного,по размеру оказалось тык в притык,хотяч выбирали по таблице.
Воротту платья весь кривой,качество на 3.
Пришло правда быстро ,за 2недели
Не советую",negative
4511,Цвет отличается от заявленного ,negative
73195,получили,positive
72410,"Джинсы классные, но пришли с браком молнии (((",positive
22799,"Откровенная халтура! Не ведитесь на фото, ничего общего с товаром на фотографии. Качество хуже, чем у подпольных мастерских. Ткань ужасная, цвет не соответствует, тонкая, просвечивается, швы косые и тянуться.  Пояс в модели должен быть пришит, а не отдельно, кстати то же халтурный. Попытка скопировать модель неудачная. Лучше отдайте $25 за нормальный товар из Польши или Украины.",negative
71052,ok,positive
68277,"высокие, красивые, но сделаны из синтетики и немного прозрачные",positive
76609,Отличное качество ,positive
3072,Товар не пришел и деньги не вернули!,negative
34641,"ждал 3 месяца, товар не пришел, возврат получен полностью",neautral
24029,товар не пришёл защита закончилась,negative
13065,"Продавец протянул время доставки, хотя я очень просила его отправить заказ как моно быстрее. Но он дождался окончания срока доставки и на следующий день отправил. Ставлю две звезды за неуважение к клиенту",negative
31963,пошито кособоко. штрипки к рукам не пришиты. не довольна.,neautral
11588,товар не пришёл продавец не вернул деньги,negative
12692,"Товар не соответствует картинке и описанию. Качество ужасное ,напоминает больше губку ,чем толстовку.Я считаю,это не стоит тех денег ,что я заплатила!",negative
70750,"Отличный свитер, приятный к телу, мягкий. Высокий ворот то, что нужно на зиму. Очень довольна, обязательно закажу у продавца еще несколько свитеров",positive
40264,"классная, но L на 44-46 оказался маловат. полногрудым не советую",neautral
74579,"Хорошее качество, размер на 42-44 подошёл.",positive
28214,Размер L  на рост 158 вес 58 мало. На спине складки,neautral
59202,"Нитки немного торчат, но за такую цену ожидаемо.",positive
22314,"1.Шло около 1.5 месяцев,ВМЕСТО 7-15 ДНЕЙ.2.КАЧЕСТВО.Боковые швы не стыкуются.Карманы на разных уровнях.Молния до самого низа(молния слабая и плохо застёгивается.)3.ОЧЕНЬ ВЕЛИКО,хотя я перед заказом списывалась с продавцом и высылала ему свои параметры.Буду перешивать.Что ХОРОШО:ткань хорошая,набивка тоже.Сама отстрочка ровная(значит,в принципе шить умеют,но не хотят).Открыла спор о частичном возврате денег на перешивку пальто.Деньги вернули 1500руб.О продавце:отзывчивый,постоянно на связи.Хотя лучше бы хорошо шили и правильно советовали выбор размера.",negative
78784,"Добрались до КРД довольно быстро , качество отличное , как на картинке , пришли в индивидуальной упаковке",positive
39354,"Маломерка, ткань синтетика. 2XL на 48 размер еле налезла. Шла больше 2 месяцев.",neautral
21144,пришло с затяжкой. качество печати плохое. кое-где пятна от краски. неожиданно очень маленькая L. из плюсов только ткань и быстрая доставка.,negative
8752,"если бы я увидела этот шарф в магазине, я бы даже за 100 р его не купила! Шарф колется, воняет и вообще он треугольной формы... думала полноценный прямоугольник. Материал дурацкий",negative
57623,"Супер красивое, легкое платье, на наш 44/46 брала L мне почти впритык, если у вас четкий 46 размер-берите xl.",positive
60898,"Товар отличного качества. На рост 159, ОТ 78, ОБ 97 Размер L великоват, но в холодную зиму на колготки пойдет. Продавать не буду, оставлю себе.  Продавец в подарок положил резиночку для волос и купон 2$. Доставка быстрая, посылка не отслеживалась. Рекомендую товар, +5. Посмотрим как поведут себя в нОске.",positive
41873,Так и не пришёл халатик. Деньги вернули ,neautral
24742,"Юбка с дыркой...разошлась ткань!!!!Очень расстроена В остальном - хорошая юбка, буду ремонтировать...но затею спор!!!!",negative
21906,заказ я не подучила. Деньги вернули всю сумму.,negative
18470,"я не получила заказ, продавец не вернул деньги",negative
15920,"не получила товар. к сожалению пропустила, когда действие доставки вышло",negative
400,Заказ не пришёл деньги не вернули!!!,negative
53304,"Продавец отправил не те колготки. Вместо средней сетки, крупную. Деньги вернул, но осадок остался, т к нужны были именно те колготки, которые заказывали.",neautral
71297,Очень хорошая рубашка. Но заказывайте на 2 размера больше) ,positive
37230,ткань немного жесткая. вещь короткая. нигде нет длины. или фотографии человека.,neautral
61367,Кофта теплая и хорошая. Пришла довольно быстро. Заказом довольна,positive
61939,"отличное качество, пришли за 11 дней до Ульяновской области",positive
61780,"штаны пришли быстро, хорошо тянутся, матерьял тонкий. на об 109 заказали размер XL, отлисно подошло. советую.",positive
49233,"пришла почти за 25дней, взяла ребенку, подошла, но на одной стороне торчала нитка,фото добавлю позже",neautral
18026,"Плохого качества,пришла БРАКОВАНАЯ.шла 2месяца",negative
42943,не соответсвует размер,neautral
35853,"Не очень кофта,материал не такой,как на картинке,лёгкая ,продувает ",neautral
68824,"На рост 168 коротковаты, но я брала под сапоги.",positive
21722,"Во-первых не могла отслеживать передвижение товара, во-вторых шорты просто не пришли , за все время ожидания часто писала продавцу и он мне ответил что-то тип ""товар в пути, только нужно подождать"" на дальнейшие вопросы о местоположении товара не отвечал, спустя почти два месяца мне надоело ждать и я открыла спор , продавец сразу же попросил его закрыть сказав , что товар 100% придет , но его обязали вернуть деньги 19.09, сейчас уже 1.10 и на данный момент нет товара и денег тоже, очень надеюсь, что  деньги все таки придут",negative
20072,Трек не отслеживался. Товар так и не получила. Очень жаль. Деньги не вернули.,negative
24666,колготки пришли порваные спор открыла деньги не вернули,negative
55300,"как всегда отлично,пришел быстро",positive
53394,"размер на наш 40, соответствует описанию, качество соответствует цене",neautral
38085,"Качество ужасное. Толстовка была с пятнами, также запах. На такую как на фото вообще не похожа ",neautral
59087,"Хорошенькие носочки и быстрая доставка. Мне все понравилось, по качеству хлопок с синтетикой. Коротенькие. Цвета все яркие, при стирке не линяют. ",positive
33367,"Покрой халата очень странный, рукава очень длинные, сам халат короткий и не соответствует размерной сетке. Оказался мал. Заказала xxl на российский 46. Но качество очень хорошее, приятный к телу. В комплекте идут трусики. В подарок продавец положил 2 резинки для волос.",neautral
8724,"доставка очень быстрая,спасибо, но качество  носить только дома",negative
69103,"качество супер,смотрится шикарно!",positive
1865,"Товар совсем не соответствует описанию. Ткань самая дешёвая,противная. А цвет? Заказала бордовый а пришло ярко красный. Нитки торчат, швы стянуты. Размер ношу s но их s сильно маломерии ))) не смогла на попу надеть.",negative
64012,кофта хорошая.но размер с на девочку 12 лет,positive
6866,Плохое качество блузки и кривые швы. Заказ разочаровал(((,negative
69227,"Заказ не пришёл, но деньги вернули. Закажу ещё раз.",positive
53597,"цвет инопланетян отличается от тех, что в описании (в описании ярче)",neautral
78065,"трек отслеживался, товар пришел за 2недели. качество нормальное, приятная к телу. но маломерка. надо было заказывать больше на размер или даже два. коротковата и рукова короткие.",positive
64511,"Хорошие, качественные резинки. Тянутся хорошо, не скользкие.",positive
8119,"Леггинсы не соответствуют размеру, короткие, резинка на поясе слабая, не держит леггинсы на фигуре, приходится постоянно подтягивать. В первый же день пошла стрелка по всей ноге, как на капроновых колготах, теперь их можно носить только как домашнюю одежду! Всем знакомым стану советовать, чтобы обходили этого продавца бракованных товаров стороной!!!",negative
78558,Мне очень понравился свитер.Вес 80 кг.Рост 164.Грудь 108.Об.бёдер110.В самый раз.Очень красиво.Спасибо брльшое.Доставка быстрая,positive
16215,"Сделала заказ 27 июня, до сих пор не получила товар (сегодня 19 октября). Трек не отслеживается. Дважды открывала спор с просьбой вернуть деньги, дважды согласилась на продление защиты покупателя по просьбе магазина. После второго согласия оказался завершенным статус. Я спросила продавца по какой причине. Вот что он мне ответил: Due to post men have many order deal with it, so update information slowly, but goods on the way, and you will get it  can u waiting for some days is ok? До сих пор ничего...",negative
47456,"товар в Хабаровск не получила,деньги вернули",neautral
42895,очень тонкая. длинная. так себе,neautral
22188,"Пиджак в реальности намного блеклый по цветам! Белые цветочки совсем не белые, а серые",negative
72018,"Хорошая курточка на весну-осень! на 46-48 р. заказала XL,все подошло по размеру.",positive
45334,"Белый топ меня вообще расстроил.
На нём какое-то пятно, плохо прошита строчка или вообще пропущена (на фото №3 видно)
Так же, как и на чёрном торчат нитки, неприятно пахнет, синтетика.",neautral
44871,"Платье по размеру подошло идеально, но вот слишком короткое. идеально будет  на пухлую не высокую девушку.",neautral
20487,"Заказывала 11 ИЮНЯЯЯЯЯ. Товар так и не пришёл, открывала спор, деньги вернули. Когда оставалось примерно 10 дней до заказа, продавец без моего ведома брал и продлевал защиту!",negative
22855,После негативного отзыва деньги возвратили. Так что делайте выводы сами покупать или нет.,negative
79192,"платье яркое,хорошее,но горловина очень вынута,хотя сейчас очень модно с открытыми плечами ходить.На мой рост 163см,длина чуть ниже колена,бюст 97см,талия 85см,брала xl, подошёл хорошо, можно даже l взять.Продавец отвечает на вопросы,пришло за месяц.",positive
58016,"все отлично,ожидания оправданны)))тканэх ь приятная, плотная,все складочки стоят,картинке соответствует полностью,кто говорит что нет,не верьте(на картинке просто у девушки идеальная фигура,а на нас  обычных смотрится немного по другому)БЕРИТЕ НЕ ПОЖАЛЕЕТЕ .
РОСТ 179 российский размер 48 взяла самый большой L маловат по длине,так что думайте сами.",positive
17903,"!!! CAUTION !!! The seller is a fraudster, sends empty envelopes! There is an opportunity to receive garbage !!!",negative
35259,"Очень долгая доставка, пришли совсем другого цвета.",neautral
15506,Ждала очень долго! Больше 3 месяца! Продавец иногда игнорировал мои смс! Не буду больше у неё заказывать . ,negative
51143,"качество изделия хорошее, ткань стрейч,но вот размер 42 примерно",neautral
57987,Просто замечательная юбка)Правда я думала что цвет будет  немного другой. А все остальное по высшему разряду доставка супер быстрая) Качество на высшем уровне),positive
32061,"Не могу оценить товар, т.к. не получила. Продавец долго упрашивал закрыть спор, можно даже сказать- настаивал. Обещал, что посылка придёт. Что обычно доставка в мой город 35 дней. Прошло почти 90.",neautral
64612,"Рубашка просто идеальная, качество отличное :)  всем советую заказывать у этого продавца(+очень быстрая доставка)",positive
82136,"здравствуйте! платье пришло, все хорошо, швы ровные. размер в размер. спасибо. за подарок отдельное спасибо.",positive
66075,"платье очень красивое, рекомендую. размер соответствует.если молнию полностью застегнуть можно и каждый день носить, когда растёгнута, то и на вечеринку.",positive
68365,Супер топ за такие деньги,positive
75983,Качество отличное . Рекомендую ,positive
81941,"По опесанию не похожа, маленькая куртка, жмёт в грудях!!!",positive
891,"синтетика очень при очень тонкая, и маленький размер",negative
70018,"Резинки среднего качества, но по хорошей цене. Ни одного яркого цвета - все постельного оттенка. Их главное преимущество в количестве. То, что надо для детского сада на целый год.",positive
71589,"отличная рубашка!  верх Х/б, похоже на фланель,  внутренняя ткань приятная к телу.  рубашка теплая. рукава в размере L на рост 170 в самый раз!",positive
8133,"Товар не пришёл. Продавец частенько отправляет не полные посылки , а потом прикидывается дураком. И доказывай потом что именно этого товара не было в посылке. С горем пополам денег скинул. ",negative
44117,"Доставка  пять недель.Ворот криврй,боковые швы стянуты.Размер подошел.",neautral
61389,"Спасибо!! Пришло очень быстро , приятная , соответствует описанию. ",positive
16221,"Свитер несуразный, короткий, качество отвратительное!!! Выкинула сразу, кому-то отдать, стыдно...",negative
24669,ХS оказался огромный. Заказывала себе так он на XS мужскому размеру соответствует. ,negative
27203,"не заказывайте товар .
некачественный,продавец не вернул деньги",negative
53383,Материал футболки не самый лучший - сплошная синтетика. Сильно просвечивают.,neautral
14830,"ткань не из самых приятных, толсковка тёплая.",negative
77229,"отлично, класс, в Московскую область за 20 дней",positive
14891,"Заказывала оранжевый и серый ( материалы разные) оба свитера синтетика. Размер S очень большой как М или L даже а рукава короткие.А оранжевый заказывала М он огромный,даже на плечах не задерживается. Носить не буду ",negative
25903,"Не пришел мой заказ,продавец вернул деньги",negative
69217,"Платье подошло по размеру, ставлю четверку, за то что рукова узкие,размер у меня 44- 46 , заказывала L ",positive
65001,пришол заказ быстро. сшито аккуратно.,positive
15174,"Товар не отправил спустя 3 недели, открыла спор, должны вернуть деньги",negative
70795,"брала xxl и перестраховалась взяла ещё и xxxl и та и то ок :) застегнула на 9месячный живот обе.. ношу 48-50 рус.170 вешу 92 сейчас ..куртка нормальная ,рекомендую )",positive
13842,Заказ доставлен с задержкой в 6 дней.Когда Новый год прошел...,negative
14312,"Кофта тонкая, не для зимы это точно, только на теплую осень. В целом не доволен, продавец на контакт не идет.",negative
20536,"Продавец отменил доставку, на связь не вышел даже после моего прямого вопроса ему по поводу доставки товара",negative
6971,я вопше  не получила куртку и продавец продлили спор до новава года зачем мне нужно эта куртка с таким образом,negative
13766,Я заказала ХХL но блуза не соответствует этому размеру. Очень маленькая для 48 размера.,negative
873,плюс быстрая доставка и отслеживание трека. цвет не чисто белый с желтизной как будто застиран. для простой футболки высокая цена!,negative
1513,"Товар не поступил,сезон прошел.",negative
38858,"Продавец отправил не тот цвет(((( я заказывала розовый а пришёл  бежевый. Куча ниток, несостыковки в кружеве. За быструю доставку +",neautral
74048,"Доставлен был быстро в Россию, но с нашей почтой беда, так что получала я посылку после 1,5 месяцев ожидания в Ростове-на-Дону. О топе. Ткань - синтетика, но довольно-таки качественная, плотная, но не настолько, чтобы ходить без бюстгальтера. Цвет яркий, насыщенный. По размеру: на груди 90см сидит плотно, так что барышням с бОльшими объемами стоит подумать. Так, за свои деньги это хороший продукт.",positive
12674,"Заказ ишёл 14 дней.Ношу S , заказала М.Подошло по размеру.Но этот свитер носить не буду, ткань вся просвечивается,нитки торчат, буквы такие, что после стирки свитер весь окрасится.",negative
35846,Мне не очень понравился! Ожидала большего(((,neautral
38491,"Халат маломерка. На 50р выписывала xxxl. Запаха практически нет, карманы пришиты рядом с планкой, материал какой-то плюшевый, смотрится дешево, длина до колена. На картинке гораздо симпатичнее. Единственное, думаю, что халат теплый. Можно конечно придумать какую-нибудь застежку( пуговицы или кнопки)",neautral
4601,"жена заказала заказ так и не пришол, или его вообще не отправили",negative
18052,"футболка пришла с пятном, продавец попросил не открывать спор, тк пятно по его мнению, обязательно отстирается. не отстиралось, деньги вернули,  качество футболки чистая синтетика,никакого хлопка там нет",negative
39607,"В этом магазине купила 2 вещи. Одна куртка очень понравилась и хорошо подошла по размеру. Эта куртка очень велика не только внизу, так как размер бедер меньше чем размер бюста, велика и в груди. Хотя про размер я спрашивала у продавца.   Эти две куртки одного размера.",neautral
60012,"Хорошая водолазка, но очень тонкая, меня сильно обтянула! на параметры 93-60  хотелось бы на размер больше!",positive
32286,"Кофта совсем не тонкая как заявлена(тонкий трикотаж),материал больше похож на ластик изнаночная сторона на  флисе,швы не аккуратные особенно впереди нитками стянуто.Покупка не обрадовала",neautral
21981,"Такая синтетика!!! Не пахнет, но нормально работающий утюг, на минимальной мощности сжег рубаху.  ",negative
79544,кофта огромная на 46-48,positive
72915,мало.общалась с продавцом пока товар еще был не отправлен  .посоветовал размер но при отправлении не изменил его.обидно.а вообще кофта супер.качество на высоте.заказала больше размером.надеюсь быстро отправят,positive
69792,Пуховик отличного качества!! До Кирова приехал за 21день.Спасиьо продавцу за внимательность и заботу!! Очень подробно объяснил как нужно выбрать размер! Отдельное спасибо за подарочек! Я очень довольна!!Рекомендую !!!,positive
69658,Неплохая кофточка за свои деньги. Я довольна. Кот смешной вышел на фото),positive
24257,"пришла куртка ,оказалась мала и  не очень тёплая ,маленькая. Я открыла спор , продавец попросил отметить и сказал ,что вернёт деньги и он очень сожалеет. спустя месяц деньги не вернул. я спршиваю , а он отвечает 15 дней уже 3 раз",negative
33491,"Delivery was very fast, but product quality not good for such price",neautral
55694,"4ХL ПОДОШЁЛ НА 48 РАЗМЕР ХОРОШО( ОГ=96 СМ) , НЕ ОБТЯГИВАЕТ ПЛОТНО. РАЗМЕРОМ ДОВОЛЬНА. ПОСТАВКА СВОЕВРЕМЕННА",positive
3573,"К сожалению полоски на легнинсах совсем не тянутся, притягивают ноги (",negative
59348,"Товар пришёл в хорошей упаковке, в идеальном состоянии. Была приятно удивлена, тем что там оказались чашечки.",positive
68729,Спасибо большое продавцу,positive
4840,"Платье синтетика, форму не держит, пришло грязное. Полное разочарование",negative
66660,замечательное шапка! Я советую,positive
20164,"Заказ вообще не пришёл ! Пошла навстречу продавцу и отменила первый спор,понадеявшись ,что обещания продавца выполнятся ,но,к сожалению,нет. Потеряла полтора месяца . ",negative
70073,Заказ не пришел.,positive
4078,"жесть..они не тянутся..ткань плотная..спереди выше, чем сзади)))...жесть",negative
30115,"ткань просто ужас! все просвечивает, на s не похоже, будто m!( из-за этого сидит ужасно,пришла с пятном. крайне не довольна!",neautral
71043,"офигенная, приятная, удобная",positive
49678,Скажу что продавец отличный!,neautral
36053,"Кофта пришла с не большим пятном, которое не отстиралось. Спор открывать не стала.",neautral
68754,"рубашка очень понравилась,плотный хлопок,пошив качественный.только с размером промахнулся,на 48р-р взяла XXL.большевата.вот почитала отзывы что после стирки немного садится,надеюсь может чуток сядет)))доставка быстрая.рекомендую продавца!!!",positive
1576,Net pugovic,negative
11545,товар не получила!,negative
74007,отличное платье. хорошее качество. приятно к телу,positive
27666,Качество не очень ,neautral
5258,"платье с пятнами, которые вообще не отстирываются",negative
72346,"Качество отличное,нитки не торчат,швы ровные. Доставка в Москву  две недели. В магазинах такая вещь стоит 2 тыс,поэтому однозначно рекомендую)",positive
76936,"спасибо продавцу, пришла посылка очень быстро! отличный комплект за эти деньги, хорошее качеств, нитки не торчат!",positive
8955,"Получила пальто с браком, во многих местах отсутствует наполнитель, в итоге в этих пустотах образуются складки и перекос ткани. При чем наполнитель отсутствует от подола, до пояса и представьте себе какая складка по всей длине и сморщена ткань. Написала продавцу, он предложил мне 10 долларов, но для ремонта вы сами знаете, что это мизер, но я согласилась получить хоть что-то а он  видимо просто на до многой посмеялся, больше не отвечал на вопросы. Хотела открыть спор, от расстройства на нервной почве случился стресс, а я уже в возрасте, несколько дней не вставала с постели, просто отказали ноги. Не стала связываться, пусть будет на их совести. Не советую вам этого продавца, в принципе пальто не плохое, но мне не повезло. Да, и очень слабые кнопки.",negative
34942,"смотрится очень дешево, маловат, хотя на размер больше заказывала",neautral
57995,Хорошие джинсы. доставка быстрая. спасибо за подарок!,positive
9238,"заказ шел очень долго,пришла рубашка черного цвета,хотя заказывала красную,рукава короткие,и сама малость маловата,хотя заказала размер М",negative
20204,XL максимум на 44 размер!!! Мне оказался мал. Если честно то он больше одноразовый. Чашечки ооочень маленькие. Платьем точно не назвать. Короче обдумайте . ,negative
2888,"пр0довец нё вёрнул дёнъги,п0этому пищу так(не ст0ит з@к@зыва@ь)",negative
55730,"Хорошая юбка, продавец очччеень общительный) дошла быстро до ДВ немножечко похоже на обычный кусок ткани, но за такие деньги очень даже дорого смотрится;) любительницам длинных юбок от талии до колена советую)на рост 165 и вес 59 подойдёт))",positive
71578,Доставка быстрая (даже быстрее чем я ожидала). Продавец общительный. Колготки отличные.,positive
12609,"Купила размер L она на 40-42, очень маленький . По материалу голая синтетика, ужас.",negative
83204,"Хорошая шапочка, качество  Доча очень довольна! Закажу еще другого цвета! Рекомендую!",positive
44782,"резинки до меня так и не доехали, продавец вернул деньги, за это только  три звезды",neautral
42896,"На фотографии полувер полностью закрывает талию модели и ещё есть возможность растянуть его ниже, фактически полувер только до талии",neautral
60249,футболка очень красивая Тошто я хотела,positive
14176,"Низ комплекта мне велик, верх маленький. Создаётся полное ощущение что это части разных комплектов. К ткани претензий нет, швы простой оверлок .",negative
